"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"YAL013W",162.144925843511,-0.229918827729766,0.117197923200255,-1.96179950507233,0.0497858313417526,0.114954720870182
"YAL014C",156.068802610251,0.241933196824034,0.115777829673681,2.08963320098435,0.0366507617240295,0.0894544562413054
"YAL015C",78.0119067461799,-0.32654780215131,0.173023878912153,-1.88729904915092,0.0591201142745298,0.132820668956495
"YAL016C-A",19.3741762590803,0.956166620676623,0.311854466829478,3.06606677915392,0.00216894866940751,0.00824044079807347
"YAL016C-B",5.81086486106476,-0.904810933744571,0.624953080746081,-1.44780618196872,0.147671263373696,0.266965320860311
"YAL016W",227.770775845213,-0.0862923117193317,0.0934495606331823,-0.923410566455792,0.355793287295744,0.509012256683343
"YAL017W",177.297604695556,0.195370468959722,0.106878725346207,1.82796406232268,0.0675549453686067,0.147830517348678
"YAL018C",0.0754422199115238,0.671878721673522,3.5338115409304,0.190128622845752,0.84920834136426,NA
"YAL019W",65.3529636370429,0.523717560848527,0.177723698191265,2.94680769181894,0.00321072811738079,0.0116122558112593
"YAL019W-A",18.0867302809596,1.32037633632874,0.365437674606105,3.6131368714294,0.00030251491147057,0.00139293464698976
"YAL020C",108.077475169022,0.205049132646785,0.138146351262899,1.48428916704841,0.13773222297529,0.254465754260686
"YAL021C",150.55754603846,0.328927647174017,0.11183993579903,2.94105718877631,0.00327094138497807,0.011809760957071
"YAL022C",148.729436196519,0.122266701681365,0.11665528831976,1.04810252018943,0.294591375304669,0.447037782187832
"YAL023C",500.721673267346,0.33476500476016,0.0629732882462175,5.31598419080915,1.06082360276593e-07,8.03176864273799e-07
"YAL024C",29.0479707118511,-0.665336977316323,0.272316393899883,-2.44324980875347,0.0145556580740448,0.0418276683382323
"YAL025C",58.4027184998054,0.838827424972785,0.189654087945563,4.42293353156488,9.73697043011922e-06,5.9189545249244e-05
"YAL026C",131.568634432634,-0.0177604898111498,0.126820679386395,-0.140044115021948,0.888625135063399,0.933979734641863
"YAL026C-A",14.9238284746333,-1.1292384036262,0.404605795585669,-2.79095953628548,0.00525520416427976,0.017569223017756
"YAL027W",34.2194508834576,-0.0807944963605164,0.23875381089902,-0.338400865964347,0.735061121639443,0.831762378916155
